"game_id","round","player","player_team","list","faction","opponent","TP","CP","VP","victory_condition","scenario","year"
"6","1","Philip Johnston","Team Ireland Craic","Deneghra2","Cryx","Kozhushko Olexii","1","5","34","Scenario","Incoming","2014"
"7","1","Carlos Mendes","Team Portugal Prime","Issyria","Retribution of Scyrah","Paul Letherby","0","2","27","Caster Kill","Outflank","2015"
"7","1","Jason Jenson","Team Ireland Craic","Goreshade3","Cryx","Maksimilijan Galos","1","0","20","Caster Kill","Incoming","2014"
"7","1","Maksimilijan Galos","Team Ukraine","Feora","Protectorate of Menoth","Jason Jenson","0","0","2","Caster Kill","Incoming","2014"
"7","1","Paul Letherby","Team Wales Storm","Mordikaar","Skorne","Carlos Mendes","1","0","39","Caster Kill","Outflank","2015"
"7","1","Ross Silvers","Team Scotland","Morvahna2","Circle Orboros","Stefan Mader","1","2","52","Caster Kill","Into the Breach","2013"
"7","1","Stefan Mader","Team Austria Red","Mordikaar","Skorne","Ross Silvers","0","0","6","Caster Kill","Into the Breach","2013"
"8","1","Adrian Weygandt","Team Austria Red","Harbinger","Protectorate of Menoth","Michael Dick","1","0","47","Caster Kill","Into the Breach","2013"
"8","1","Gerry Nolan","Team Ireland Craic","Lylyth2","Legion of Everblight","Shostak Dmytro","1","5","54","Scenario","Incoming","2014"
"8","1","João Nunes","Team Portugal Prime","Butcher3","Khador","Marc Morgan","1","5","40","Scenario","Outflank","2015"
"8","1","Marc Morgan","Team Wales Storm","Issyria","Retribution of Scyrah","João Nunes","0","0","32","Scenario","Outflank","2015"
"8","1","Michael Dick","Team Scotland","Krueger2","Circle Orboros","Adrian Weygandt","0","4","35","Caster Kill","Into the Breach","2013"
"8","1","Shostak Dmytro","Team Ukraine","Haley2","Cygnar","Gerry Nolan","0","0","23","Scenario","Incoming","2014"
"9","1","Alexis Celnik","Team Wales Storm","Doomshaper","Trollblood","Vasco Oliveira","0","3","20","Caster Kill","Outflank","2015"
"9","1","Conor Burnell","Team Ireland Craic","Madrak2","Trollblood","Gorbachyk Oleksii","0","4","24","Deathclock","Incoming","2014"
"9","1","Gorbachyk Oleksii","Team Ukraine","Butcher","Khador","Conor Burnell","1","0","46","Deathclock","Incoming","2014"
"9","1","Richard McHale","Team Scotland","Rahn","Retribution of Scyrah","Stefan Riegler","0","0","52","Deathclock","Into the Breach","2013"
"9","1","Stefan Riegler","Team Austria Red","Vayl2","Legion of Everblight","Richard McHale","1","4","48","Deathclock","Into the Breach","2013"
"9","1","Vasco Oliveira","Team Portugal Prime","Vayl","Legion of Everblight","Alexis Celnik","1","0","59","Caster Kill","Outflank","2015"
"10","1","Alasdair Johnstone","Team Scotland","Deneghra2","Cryx","David Horwitz","1","5","43","Scenario","Into the Breach","2013"
"10","1","Byron Liles","Team Wales Storm","Butcher","Khador","Luís Leite","1","5","29","Scenario","Outflank","2015"
"10","1","David Horwitz","Team Austria Red","Haley","Cygnar","Alasdair Johnstone","0","0","5","Scenario","Into the Breach","2013"
"10","1","Golitsyn Oleksandr","Team Ukraine","Butcher3","Khador","Harry Cullen","1","0","23","Caster Kill","Incoming","2014"
"10","1","Harry Cullen","Team Ireland Craic","Caine2","Cygnar","Golitsyn Oleksandr","0","0","17","Caster Kill","Incoming","2014"
"10","1","Luís Leite","Team Portugal Prime","High Reclaimer","Protectorate of Menoth","Byron Liles","0","4","41","Scenario","Outflank","2015"
"11","1","Brian White","Team USA Stars","Harbinger","Protectorate of Menoth","Kerazoglou Nikolaos","1","5","21","Scenario","Outflank","2015"
"11","1","David Horwitz","Team Austria Red","Darius","Cygnar","Matt Goligher","0","0","6","Scenario","Incoming","2014"
"11","1","Kerazoglou Nikolaos","Team Greece Epic","Deneghra","Cryx","Brian White","0","0","19","Scenario","Outflank","2015"
"11","1","Matt Goligher","Team England Epic","Vayl2","Legion of Everblight","David Horwitz","1","5","23","Scenario","Incoming","2014"
"12","1","Ed Smith","Team England Epic","Skarre","Cryx","Wolfgang Weber","0","0","18","Caster Kill","Incoming","2014"
"12","1","Kasdovassilis Dimitrios","Team Greece Epic","Calandra","Trollblood","Tom Guan","0","0","0","Caster Kill","Outflank","2015"
"12","1","Tom Guan","Team USA Stars","Deneghra","Cryx","Kasdovassilis Dimitrios","1","0","65","Caster Kill","Outflank","2015"
"12","1","Wolfgang Weber","Team Austria Red","Makeda2","Skorne","Ed Smith","1","1","27","Caster Kill","Incoming","2014"
"13","1","Adrian Weygandt","Team Austria Red","Harbinger","Protectorate of Menoth","Eliot Kimpton","0","0","10","Scenario","Incoming","2014"
"13","1","Eliot Kimpton","Team England Epic","Morvahna2","Circle Orboros","Adrian Weygandt","1","5","33","Scenario","Incoming","2014"
"13","1","Jake Van Meter","Team USA Stars","Absylonia2","Legion of Everblight","Ntemiris Panagiotis","1","4","52","Caster Kill","Outflank","2015"
"13","1","Ntemiris Panagiotis","Team Greece Epic","Zaal","Skorne","Jake Van Meter","0","0","24","Caster Kill","Outflank","2015"
"14","1","Alexander Grob","Team Austria Red","Skarre","Cryx","Dan Cunningham","0","2","14","Scenario","Incoming","2014"
"14","1","Dan Cunningham","Team England Epic","High Reclaimer","Protectorate of Menoth","Alexander Grob","1","5","53","Scenario","Incoming","2014"
"14","1","Stathis Panagiotis","Team Greece Epic","Rahn","Retribution of Scyrah","Will Pagani","0","0","22","Deathclock","Outflank","2015"
"14","1","Will Pagani","Team USA Stars","Kromac2","Circle Orboros","Stathis Panagiotis","1","2","47","Deathclock","Outflank","2015"
"15","1","Bozikas Dimitrios","Team Greece Epic","Asphyxious2","Cryx","Ryan Chiriboga","0","0","25","Caster Kill","Outflank","2015"
"15","1","Matt Townsend","Team England Epic","Deneghra2","Cryx","Stefan Riegler","0","0","13","Scenario","Incoming","2014"
"15","1","Ryan Chiriboga","Team USA Stars","Asphyxious2","Cryx","Bozikas Dimitrios","1","0","28","Caster Kill","Outflank","2015"
"15","1","Stefan Riegler","Team Austria Red","Sorscha","Khador","Matt Townsend","1","5","39","Scenario","Incoming","2014"
"16","1","Emil","Team Denmark Red","Morvahna","Circle Orboros","Quentin Recour","0","0","10","Caster Kill","Into the Breach","2013"
"16","1","Jocke Rapp","Team Sweden Dynamite","Asphyxious3","Cryx","Pat Vance","1","5","50","Scenario","Outflank","2015"
"16","1","Lukasz","Team Canada 1","Vayl2","Legion of Everblight","Péter Molnár","1","0","33","Caster Kill","Incoming","2014"
"16","1","Pat Vance","Team Wales Fire","Lylyth2","Legion of Everblight","Jocke Rapp","0","0","22","Scenario","Outflank","2015"
"16","1","Péter Molnár","Team Hungary Green","Xerxis","Skorne","Lukasz","0","2","18","Caster Kill","Incoming","2014"
"16","1","Quentin Recour","Team France White","Doomshaper","Trollblood","Emil","1","0","24","Caster Kill","Into the Breach","2013"
"17","1","Éric Grux","Team France White","Harkevich","Khador","Soren","0","0","9","Caster Kill","Into the Breach","2013"
"17","1","Loránd Sövényházi","Team Hungary Green","Doomshaper2","Trollblood","Tyler","0","0","5","Caster Kill","Incoming","2014"
"17","1","Martyn Jenkins","Team Wales Fire","Harbinger","Protectorate of Menoth","Rickard Nilsson","0","2","27","Scenario","Outflank","2015"
"17","1","Rickard Nilsson","Team Sweden Dynamite","Goreshade","Cryx","Martyn Jenkins","1","5","46","Scenario","Outflank","2015"
"17","1","Soren","Team Denmark Red","Caine2","Cygnar","Éric Grux","1","0","48","Caster Kill","Into the Breach","2013"
"17","1","Tyler","Team Canada 1","Sorscha","Khador","Loránd Sövényházi","1","0","52","Caster Kill","Incoming","2014"
"18","1","Albert Adolf","Team Hungary Green","Sloan","Cygnar","Brynn","0","1","8","Scenario","Incoming","2014"
"18","1","Andreas Holm","Team Sweden Dynamite","Asphyxious2","Cryx","Mike Davies","1","0","45","Caster Kill","Outflank","2015"
"18","1","Brynn","Team Canada 1","Feora2","Protectorate of Menoth","Albert Adolf","1","5","48","Scenario","Incoming","2014"
"18","1","Cornelius","Team Denmark Red","Nemo","Cygnar","Simon Henry","0","1","24","Caster Kill","Into the Breach","2013"
"18","1","Mike Davies","Team Wales Fire","Borka2","Trollblood","Andreas Holm","0","0","16","Caster Kill","Outflank","2015"
"18","1","Simon Henry","Team France White","Siege","Cygnar","Cornelius","1","5","47","Caster Kill","Into the Breach","2013"
"19","1","Benoît Céré","Team France White","Mordikaar","Skorne","Gil Surepi","0","0","25","Caster Kill","Into the Breach","2013"
"19","1","Gábor Wolf","Team Hungary Green","Butcher2","Khador","Gord","1","5","52","Scenario","Incoming","2014"
"19","1","Gil Surepi","Team Denmark Red","Butcher","Khador","Benoît Céré","1","2","55","Caster Kill","Into the Breach","2013"
"19","1","Gord","Team Canada 1","Krueger2","Circle Orboros","Gábor Wolf","0","0","27","Scenario","Incoming","2014"
"19","1","Stefan Benediktsson","Team Sweden Dynamite","Scaverous","Cryx","Terry Slade","0","0","24","Scenario","Outflank","2015"
"19","1","Terry Slade","Team Wales Fire","Deneghra","Cryx","Stefan Benediktsson","1","5","35","Scenario","Outflank","2015"
"20","1","Igor Kazmierski","Team France White","Deneghra","Cryx","Peter B","1","0","15","Caster Kill","Into the Breach","2013"
"20","1","Johan Dyrlind","Team Sweden Dynamite","Skarre","Cryx","Rhys Phillips","1","5","44","Scenario","Outflank","2015"
"20","1","Marc-André","Team Canada 1","Haley2","Cygnar","Rudolf Edlmayer ","0","1","18","Scenario","Incoming","2014"
"20","1","Peter B","Team Denmark Red","Deneghra2","Cryx","Igor Kazmierski","0","0","45","Caster Kill","Into the Breach","2013"
"20","1","Rhys Phillips","Team Wales Fire","Rahn","Retribution of Scyrah","Johan Dyrlind","0","0","5","Scenario","Outflank","2015"
"20","1","Rudolf Edlmayer ","Team Hungary Green","Grayle","Circle Orboros","Marc-André","1","5","33","Scenario","Incoming","2014"
"21","1","Brett Wilkie","Team England Prime","Morvahna","Circle Orboros","Kévin Maeder","1","0","27","Deathclock","Incoming","2014"
"21","1","Jan D'Souza","Team Denmark White","Goreshade2","Cryx","Valérian Tschanz","1","0","50","Caster Kill","Into the Breach","2013"
"21","1","Kévin Maeder","Team Portugal Prime","Rasheth","Skorne","Brett Wilkie","0","1","15","Deathclock","Incoming","2014"
"21","1","Patrick Dunford","Team Ireland Ceol","Haley2","Cygnar","Tommy Geuns","1","5","20","Scenario","Outflank","2015"
"21","1","Tommy Geuns","Team Belgium Blonde","Morvahna2","Circle Orboros","Patrick Dunford","0","0","19","Scenario","Outflank","2015"
"21","1","Valérian Tschanz","Team France Blue","Zaal","Skorne","Jan D'Souza","0","4","50","Caster Kill","Into the Breach","2013"
"22","1","Baptiste Schmittlin","Team France Blue","Harbinger","Protectorate of Menoth","Simon Sørensen","1","2","23","Caster Kill","Into the Breach","2013"
"22","1","Conor Burnell","Team Ireland Ceol","Grissel","Trollblood","Laurens Tanguy","0","2","4","Caster Kill","Outflank","2015"
"22","1","Laurens Tanguy","Team Belgium Blonde","Vyros2","Retribution of Scyrah","Conor Burnell","1","0","26","Caster Kill","Outflank","2015"
"22","1","Paul North","Team England Prime","Harbinger","Protectorate of Menoth","Vasco Oliveira","1","0","41","Caster Kill","Incoming","2014"
"22","1","Simon Sørensen","Team Denmark White","Butcher3","Khador","Baptiste Schmittlin","0","0","5","Caster Kill","Into the Breach","2013"
"22","1","Vasco Oliveira","Team Portugal Prime","Kromac","Circle Orboros","Paul North","0","1","18","Caster Kill","Incoming","2014"
"23","1","Anthony O'Reilly","Team Ireland Ceol","Asphyxious2","Cryx","Wout Maerschalck","0","0","30","Scenario","Outflank","2015"
"23","1","Jamie Perkins","Team England Prime","Vayl2","Legion of Everblight","Paulo Morais","1","5","31","Scenario","Incoming","2014"
"23","1","Marc Simoni","Team France Blue","Lylyth2","Legion of Everblight","Paul Bridge","0","0","20","Scenario","Into the Breach","2013"
"23","1","Paul Bridge","Team Denmark White","Saeryn","Legion of Everblight","Marc Simoni","1","5","34","Scenario","Into the Breach","2013"
"23","1","Paulo Morais","Team Portugal Prime","Kreoss3","Protectorate of Menoth","Jamie Perkins","0","0","34","Scenario","Incoming","2014"
"23","1","Wout Maerschalck","Team Belgium Blonde","Haley2","Cygnar","Anthony O'Reilly","1","5","5","Scenario","Outflank","2015"
"24","1","Dirk Pintjens","Team Belgium Blonde","Butcher2","Khador","Eoin Brennan","0","2","37","Scenario","Outflank","2015"
"24","1","Eoin Brennan","Team Ireland Ceol","Bradigus","Circle Orboros","Dirk Pintjens","1","5","50","Scenario","Outflank","2015"
"24","1","Joao Morais","Team Portugal Prime","Hexeris2","Skorne","Matt Oakley ","0","0","19","Caster Kill","Incoming","2014"
"24","1","Mathieu Buttin","Team France Blue","Skarre","Cryx","Stephan Garmark","1","5","52","Scenario","Into the Breach","2013"
"24","1","Matt Oakley ","Team England Prime","Skarre","Cryx","Joao Morais","1","5","33","Caster Kill","Incoming","2014"
"24","1","Stephan Garmark","Team Denmark White","Caine2","Cygnar","Mathieu Buttin","0","0","26","Scenario","Into the Breach","2013"
"25","1","Franck Primavera","Team France Blue","Damiano","Mercenaries","Laurents Rønved","0","1","28","Scenario","Into the Breach","2013"
"25","1","Klaas Luyckx","Team Belgium Blonde","Deneghra","Cryx","Peter Croft","1","1","59","Caster Kill","Outflank","2015"
"25","1","Laurents Rønved","Team Denmark White","Terminus","Cryx","Franck Primavera","1","5","40","Scenario","Into the Breach","2013"
"25","1","Lewis Johnson","Team England Prime","Haley","Cygnar","Nuno Sequeira","1","5","42","Scenario","Incoming","2014"
"25","1","Nuno Sequeira","Team Portugal Prime","Goreshade3","Cryx","Lewis Johnson","0","0","2","Scenario","Incoming","2014"
"25","1","Peter Croft","Team Ireland Ceol","Vayl","Legion of Everblight","Klaas Luyckx","0","0","10","Caster Kill","Outflank","2015"
"26","1","Darren","Team Malta Epic","Barnabas","Minions","Sankha Amarakoon","0","1","16","Caster Kill","Incoming","2014"
"26","1","Dorian Gordon","Team Spain South","Asphyxious2","Cryx","Fraser McFetridge","1","5","49","Scenario","Outflank","2015"
"26","1","Fraser McFetridge","Team Scotland Irn","Vayl2","Legion of Everblight","Dorian Gordon","0","4","42","Scenario","Outflank","2015"
"26","1","Gard Andresen","Team Norway Red","Haley2","Cygnar","Tim Bossuyt","1","5","43","Scenario","Into the Breach","2013"
"26","1","Sankha Amarakoon","Team Netherlands Orange","Durgen","Mercenaries","Darren","1","5","47","Caster Kill","Incoming","2014"
"26","1","Tim Bossuyt","Team Belgium Red","Asphyxious2","Cryx","Gard Andresen","0","0","49","Scenario","Into the Breach","2013"
"27","1","Billy Cruikshanks","Team Scotland Irn","Goreshade3","Cryx","Enrique Lopez","1","1","38","Caster Kill","Outflank","2015"
"27","1","Enrique Lopez","Team Spain South","Morvahna2","Circle Orboros","Billy Cruikshanks","0","0","19","Caster Kill","Outflank","2015"
"27","1","Laurens Tanguy","Team Belgium Red","Ravyn","Retribution of Scyrah","Terje Boye","0","0","43","Scenario","Into the Breach","2013"
"27","1","Matthew","Team Malta Epic","Deneghra2","Cryx","Rob Kneepkens","0","4","15","Scenario","Incoming","2014"
"27","1","Rob Kneepkens","Team Netherlands Orange","Rask","Minions","Matthew","1","5","50","Scenario","Incoming","2014"
"27","1","Terje Boye","Team Norway Red","Terminus","Cryx","Laurens Tanguy","1","5","23","Scenario","Into the Breach","2013"
"28","1","Bryce Johnston","Team Scotland Irn","Severius","Protectorate of Menoth","Raul Segado","1","2","27","Caster Kill","Outflank","2015"
"28","1","Chris Gatt","Team Malta Epic","Issyria","Retribution of Scyrah","Harm Kleijnen","0","3","54","Scenario","Incoming","2014"
"28","1","Christian Vestøl","Team Norway Red","Vayl2","Legion of Everblight","Dirk Pintjens","0","0","39","Deathclock","Into the Breach","2013"
"28","1","Dirk Pintjens","Team Belgium Red","Kreoss3","Protectorate of Menoth","Christian Vestøl","1","0","38","Deathclock","Into the Breach","2013"
"28","1","Harm Kleijnen","Team Netherlands Orange","Vayl2","Legion of Everblight","Chris Gatt","1","5","21","Scenario","Incoming","2014"
"28","1","Raul Segado","Team Spain South","Deneghra2","Cryx","Bryce Johnston","0","2","1","Caster Kill","Outflank","2015"
"29","1","Antoine Bilocca","Team Malta Epic","Grim","Trollblood","Tom Starren","1","0","33","Caster Kill","Incoming","2014"
"29","1","Dominique Majoie","Team Belgium Red","Lylyth2","Legion of Everblight","Jonas Brand","0","0","5","Caster Kill","Into the Breach","2013"
"29","1","Fernando Segado","Team Spain South","Thagrosh2","Legion of Everblight","Frazer Penman","1","2","44","Caster Kill","Outflank","2015"
"29","1","Frazer Penman","Team Scotland Irn","Doomshaper","Trollblood","Fernando Segado","0","1","31","Caster Kill","Outflank","2015"
"29","1","Jonas Brand","Team Norway Red","Deneghra2","Cryx","Dominique Majoie","1","0","40","Caster Kill","Into the Breach","2013"
"29","1","Tom Starren","Team Netherlands Orange","Sorscha","Khador","Antoine Bilocca","0","1","6","Caster Kill","Incoming","2014"
"30","1","Alasdair Johnstone","Team Scotland Irn","Haley3","Cygnar","Christoph Schrage","1","5","34","Scenario","Outflank","2015"
"30","1","Casper Jellema","Team Netherlands Orange","Caine2","Cygnar","Ian Bonaci","1","1","55","Caster Kill","Incoming","2014"
"30","1","Christoph Schrage","Team Spain South","Iron Mother","Convergence of Cyriss","Alasdair Johnstone","0","0","5","Scenario","Outflank","2015"
"30","1","Ian Bonaci","Team Malta Epic","Feora2","Protectorate of Menoth","Casper Jellema","0","0","21","Caster Kill","Incoming","2014"
"30","1","Jakub Grzegorzek","Team Norway Red","Vindictus","Protectorate of Menoth","Tommy Geuns","0","0","24","Caster Kill","Into the Breach","2013"
"30","1","Tommy Geuns","Team Belgium Red","Morvahna2","Circle Orboros","Jakub Grzegorzek","1","4","60","Caster Kill","Into the Breach","2013"
"31","1","Artem Volik","Team Russia","Madrak2","Trollblood","Denis Korzun","0","0","13","Caster Kill","Into the Breach","2013"
"31","1","Denis Korzun","Team Prime Sweden","Calandra","Trollblood","Artem Volik","1","0","27","Caster Kill","Into the Breach","2013"
"31","1","Jim Gradwell","Team England Roses","Sorscha2","Khador","Miguel Correia","1","5","32","Scenario","Outflank","2015"
"31","1","Martin Hornácek","Team Slovakia","Mordikaar","Skorne","Novikov Bogdan","1","5","21","Scenario","Incoming","2014"
"31","1","Miguel Correia","Team Portugal Kult","Goreshade2","Cryx","Jim Gradwell","0","0","45","Scenario","Outflank","2015"
"31","1","Novikov Bogdan","Team Russia 1","Issyria","Retribution of Scyrah","Martin Hornácek","0","0","16","Scenario","Incoming","2014"
"32","1","Gustav Linderup","Team Prime Sweden","Haley","Cygnar","Victor Nelipovich","1","0","54","Caster Kill","Into the Breach","2013"
"32","1","Martin Polák","Team Slovakia","Siege","Cygnar","Novikov Mikhail","0","3","5","Caster Kill","Incoming","2014"
"32","1","Matthew Goligher","Team England Roses","Vayl","Legion of Everblight","Romeu Silva","1","5","56","Scenario","Outflank","2015"
"32","1","Novikov Mikhail","Team Russia 1","Kreoss","Protectorate of Menoth","Martin Polák","1","2","48","Caster Kill","Incoming","2014"
"32","1","Romeu Silva","Team Portugal Kult","Asphyxious2","Cryx","Matthew Goligher","0","0","33","Scenario","Outflank","2015"
"32","1","Victor Nelipovich","Team Russia","Krueger2","Circle Orboros","Gustav Linderup","0","2","48","Caster Kill","Into the Breach","2013"
"33","1","Alberto Santos","Team Portugal Kult","Deneghra","Cryx","Phil Shaw","1","1","45","Caster Kill","Outflank","2015"
"33","1","Evgeny Orelkin","Team Russia","Rahn","Retribution of Scyrah","Johan Persson","0","0","12","Caster Kill","Into the Breach","2013"
"33","1","Johan Persson","Team Prime Sweden","Vayl2","Legion of Everblight","Evgeny Orelkin","1","1","51","Caster Kill","Into the Breach","2013"
"33","1","Martin Šcepán","Team Slovakia","Makeda","Skorne","Orelkin Evgeny","1","0","59","Caster Kill","Incoming","2014"
"33","1","Orelkin Evgeny","Team Russia 1","Vayl2","Legion of Everblight","Martin Šcepán","0","0","4","Caster Kill","Incoming","2014"
"33","1","Phil Shaw","Team England Roses","Haley","Cygnar","Alberto Santos","0","1","9","Caster Kill","Outflank","2015"
"34","1","Andreas Holm","Team Prime Sweden","Asphyxious2","Cryx","Andrei Ivanov","1","5","34","Scenario","Into the Breach","2013"
"34","1","Andrei Ivanov","Team Russia","Deneghra","Cryx","Andreas Holm","0","0","13","Scenario","Into the Breach","2013"
"34","1","Eliot Kimpton","Team England Roses","Morvahna","Circle Orboros","Joao Isidro","1","5","32","Scenario","Outflank","2015"
"34","1","Ivanov Andrei","Team Russia 1","Deneghra","Cryx","Matej Tkác","0","2","15","Caster Kill","Incoming","2014"
"34","1","Joao Isidro","Team Portugal Kult","Goreshade3","Cryx","Eliot Kimpton","0","4","31","Scenario","Outflank","2015"
"34","1","Matej Tkác","Team Slovakia","Lucant","Convergence of Cyriss","Ivanov Andrei","1","4","54","Caster Kill","Incoming","2014"
"35","1","Adam Bell","Team England Roses","Severius2","Protectorate of Menoth","Luis Ventura","1","5","34","Scenario","Outflank","2015"
"35","1","Dmitry Khalansky","Team Russia","Haley2","Cygnar","Rickard Nilsson","1","5","23","Scenario","Into the Breach","2013"
"35","1","Jaromir Skirmuntt","Team Slovakia","Ravyn","Retribution of Scyrah","Khalansky Dmitry","1","5","56","Scenario","Incoming","2014"
"35","1","Khalansky Dmitry","Team Russia 1","Haley2","Cygnar","Jaromir Skirmuntt","0","0","25","Scenario","Incoming","2014"
"35","1","Luis Ventura","Team Portugal Kult","Skarre","Cryx","Adam Bell","0","0","3","Scenario","Outflank","2015"
"35","1","Rickard Nilsson","Team Prime Sweden","Rask","Minions","Dmitry Khalansky","0","0","46","Scenario","Into the Breach","2013"
"36","1","Bernhard Bornatowicz","Team Austria White","Siege","Cygnar","John Henneli","1","5","54","Caster Kill","Into the Breach","2013"
"36","1","John Henneli","Team Norway Blue","Sloan","Cygnar","Bernhard Bornatowicz","0","0","2","Caster Kill","Into the Breach","2013"
"37","1","Florian Hartmann","Team Austria White","Morvahna2","Circle Orboros","Håvard Kongsrud","1","0","30","Caster Kill","Into the Breach","2013"
"37","1","Håvard Kongsrud","Team Norway Blue","Rask","Minions","Florian Hartmann","0","0","16","Caster Kill","Into the Breach","2013"
"38","1","Erich Hochauer","Team Austria White","Thagrosh","Legion of Everblight","Nima Yaghmai","1","5","41","Scenario","Into the Breach","2013"
"38","1","Nima Yaghmai","Team Norway Blue","Kaelyssa","Retribution of Scyrah","Erich Hochauer","0","0","43","Scenario","Into the Breach","2013"
"39","1","Daniel Pawelka","Team Austria White","Calandra","Trollblood","Endre Fodstad","1","0","26","Caster Kill","Into the Breach","2013"
"39","1","Endre Fodstad","Team Norway Blue","Harbinger","Protectorate of Menoth","Daniel Pawelka","0","0","0","Caster Kill","Into the Breach","2013"
"40","1","Kai Soltau","Team Austria White","Feora2","Protectorate of Menoth","Leif Bøhli","1","0","44","Caster Kill","Into the Breach","2013"
"40","1","Leif Bøhli","Team Norway Blue","Caine2","Cygnar","Kai Soltau","0","1","28","Caster Kill","Into the Breach","2013"
"41","1","Andrei Ivanov","Team Russia Bears","Deneghra2","Cryx","Paul North","1","5","24","Scenario","Outflank","2015"
