list_id,player_id,faction_id,leader,list,cccode
5990,2995,5,"Ossyan 1","Retribution Army - 75 / 75 points\n[Theme] Defenders of Ios\n\n!!! Your army contains pre-release entries.\n\n(Ossyan 1) Lord Arcanist Ossyan [+28]\n - Harpy [9]\n - Harpy [9]\n - Hypnos [18]\nArcanist Mechanik [2]\nArcanist Mechanik [2]\nArcanist Mechanik [2]\nFane Knight Skeryth Issyen [0(8)]\nHouseguard Thane [0(4)]\nHouseguard Thane [0(4)]\nHouseguard Halberdiers (max) [13]\n - Houseguard Halberdier Officer & Standard [4]\n - Soulless Escort (1) [1]\nHouseguard Halberdiers (max) [13]\n - Houseguard Halberdier Officer & Standard [4]\nStormfall Archers [9]\nArcantrik Force Generator [17]\n","c5101b_-0z46jsjs4l3y3y3y3LdPdP35363u35363xhT___-0X0G4Ejsjs3y3y3y3J4k2z2V313u2V313u"
5991,2995,5,"Kaelyssa 1","Retribution Army - 75 / 75 points\n[Theme] Legions of Dawn\n\n!!! Your army contains pre-release entries.\n\n(Kaelyssa 1) Kaelyssa, the Night's Whisper [+29]\n - Banshee [18]\n - Harpy [9]\n - Harpy [9]\nArcanist Mechanik [2]\nArcanist Mechanik [2]\nArcanist Mechanik [2]\nDawnguard Sentinel Scyir [0(4)]\nLanyssa Ryssyl, Nyss Sorceress [0(4)]\nDawnguard Destors (max) [20]\nDawnguard Sentinels (max) [18]\n - Dawnguard Sentinel Officer & Standard [0(4)]\n - Soulless Escort (1) [1]\nDawnguard Sentinels (max) [18]\n - Dawnguard Sentinel Officer & Standard [4]\n - Soulless Escort (1) [1]\n","c5101b_-0z46jsjs4l3y3y3y3LdPdP35363u35363xhT___-0X0G4Ejsjs3y3y3y3J4k2z2V313u2V313u"
5996,2998,4,"Asphyxious 2","Cryx Army - 75 / 75 points\n[Theme] Dark Host\n\n(Asphyxious 2) Lich Lord Asphyxious [+28]\n - Deathripper [6]\n - Desecrator [14]\n - Desecrator [14]\n - Skarlock Thrall [0(4)]\nBane Lord Tartarus [0(6)]\nDarragh Wrathe [9]\nBane Knights (max) [15]\nBane Riders (max) [20]\nBane Warriors (min) [10]\n - Bane Warrior Officer & Standard [0(5)]\nWraith Engine [15]\n","c4101b_-0B0E193c3c2Ai22Ei5dWhZh_bB___-0Y0x1919191xj62x1R1Tkxkx1N1P1N1P"
5997,2998,4,"Deneghra 1","Cryx Army - 75 / 75 points\n[Theme] Scourge of the Broken Coast\n\n(Deneghra 1) Warwitch Deneghra [+28]\n - Deathripper [6]\n - Deathripper [6]\n - Deathripper [6]\n - Nightmare [18]\nEilish Garrity, the Occultist [5]\nSatyxis Raider Captain [0(4)]\nSatyxis Blood Witches (max) [13]\n - Satyxis Blood Hag [0(4)]\nSatyxis Gunslingers [7]\nSatyxis Gunslingers [7]\nSatyxis Raiders (max) [16]\n - Satyxis Raider Sea Witch [0(3)]\nSatyxis Raiders (max) [16]\n - Satyxis Raider Sea Witch [3]\n","c4101b_-0B0E193c3c2Ai22Ei5dWhZh_bB___-0Y0x1919191xj62x1R1Tkxkx1N1P1N1P"
5994,2997,1,"Brisbane 2","Cygnar Army - 75 / 75 points\n[Theme] Gravediggers\n\n(Brisbane 2) Colonel Markus ""Siege"" Brisbane [+28]\n - Ironclad [12]\n - Triumph [18]\nCaptain Maxwell Finn [0(6)]\nCommander Anson Hitch [4]\nMajor Harrison Gibbs [4]\nPatrol Dog [2]\nRagman [4]\nTrench Buster [0(5)]\nLady Aiyana & Master Holt [8]\n - Captain Jonas Murdoch [4]\nTrencher Commandos (max) [15]\n - Trencher Commando Officer [4]\n - Trencher Commando Scattergunner (1) [2]\nTrencher Express Team [0(5)]\nTrencher Express Team [5]\nTrencher Infantry (max) [16]\n - Trencher Infantry Officer & Sniper [5]\n","c1101b_-0Fid9Gicaming8if9uie8MayiNiha0igig9U9V___-0n919b9b9c9cicakanaj9baeaebzbz"
5995,2997,1,"Brisbane 1","Cygnar Army - 75 / 75 points\n[Theme] Heavy Metal\n\n(Brisbane 1) Major Markus ""Siege"" Brisbane [+28]\n - Charger [9]\n - Charger [9]\n - Firefly [8]\n - Firefly [8]\n - Triumph [18]\n - Squire [0(5)]\nCaptain Arlan Strangewayes [0(4)]\nJourneyman Warcaster [0(4)]\n - Charger [9]\nField Mechaniks (min) [3]\nField Mechaniks (min) [3]\nStorm Strider [18]\nStorm Strider [18]\n","c1101b_-0Fid9Gicaming8if9uie8MayiNiha0igig9U9V___-0n919b9b9c9cicakanaj9baeaebzbz"
5998,2999,12,"Orion 1","Convergence Army - 75 / 75 points\n[Theme] Destruction Initiative\n\n!!! Your army contains a pre-release entry.\n\n(Orion 1) Eminent Configurator Orion [+28]\n - Corollary [6]\n - Galvanizer [5]\n - Galvanizer [5]\n - Galvanizer [5]\n - Modulator [10]\n - Modulator [10]\n - Modulator [10]\n - Modulator [10]\n - Prime Conflux [37]\nEilish Garrity, the Occultist [5]\nElimination Servitors [0(3)]\nElimination Servitors [0(3)]\nReflex Servitors [0(4)]\nReflex Servitors [0(4)]\n","cc101b_-0ijBdBd5d5d5dodododog5j6dfdfdgdg___-0Sd8dndndBj6dEdEdEdEdcdcdydAdqdqdqdz"
5999,2999,12,"Axis 1","Convergence Army - 74 / 75 points\n[Theme] Clockwork Legions\n\n(Axis 1) Axis, the Harmonic Enforcer [+30]\n - Conservator [12]\n - Conservator [12]\n - Corollary [6]\nEilish Garrity, the Occultist [5]\nEnigma Foundry [0(4)]\nEnigma Foundry [0(4)]\nEnigma Foundry [0(4)]\nEnigma Foundry [4]\nClockwork Angels [5]\nClockwork Angels [5]\nEradicators (max) [15]\n - Transverse Enumerator [3]\nObstructors (max) [11]\nObstructors (max) [11]\nObstructors (max) [11]\nOptifex Directive [4]\n","cc101b_-0ijBdBd5d5d5dodododog5j6dfdfdgdg___-0Sd8dndndBj6dEdEdEdEdcdcdydAdqdqdqdz"
6004,3002,6,"Thexus 1","Mercenary Army - 75 / 75 points\n[Theme] Operating Theater\n\n(Thexus 1) Exulon Thexus [+29]\n - Warden [10]\n - Wrecker [14]\n - Wrecker [14]\nCephalyx Agitator [3]\nCephalyx Agitator [3]\nAlexia Ciannor & the Risen [10]\n - Cephalyx Dominator [1]\nCephalyx Mind Bender & Drudges (min) [7]\nCephalyx Mind Bender & Drudges (min) [7]\nCephalyx Mind Bender & Drudges (max) [11]\nCephalyx Mind Slaver & Drudges (max) [12]\nCephalyx Mind Slaver & Drudges (max) [12]\nCephalyx Overlords [0(8)]\nCephalyx Overlords [0(8)]\n","c6101b_Z07enelememeiei6iejegegehcjcjckck___-0Jjv5Z5Z5W7ij63Wg89u6i753G3H8MiB"
6005,3002,6,"Crosse 2","Mercenary Army - 75 / 75 points\n[Theme] The Irregulars\n\n!!! Your army contains a pre-release entry.\n\n(Crosse 2) Lieutenant Crosse, Resistance Fighter [+29]\n - Nomad [11]\n - Nomad [11]\n - Vanguard [10]\n - Reinholdt, Gobber Speculator [0(4)]\nEilish Garrity, the Occultist [0(5)]\nEiryss, Mage Hunter of Ios [0(7)]\nMajor Harrison Gibbs [0(4)]\nRagman [4]\nAlexia Ciannor & the Risen [10]\nCylena Raefyll & Nyss Hunters (max) [19]\nIdrian Skirmishers (max) [15]\n - Idrian Skirmisher Chieftain & Guide [5]\nLady Aiyana & Master Holt [8]\nSteelhead Halberdiers (max) [11]\n","c6101b_Z07enelememeiei6iejegegehcjcjckck___-0Jjv5Z5Z5W7ij63Wg89u6i753G3H8MiB"
6000,3000,1,"Haley 2","Cygnar Army - 75 / 75 points\n\n(Haley 2) Major Victoria Haley [+25]\n - Brickhouse [18]\n - Thorn [13]\n - Squire [5]\nAnastasia di Bray [3]\nEilish Garrity, the Occultist [5]\nGun Mage Captain Adept [5]\nJourneyman Warcaster [4]\n - Firefly [8]\nArcane Tempest Gun Mages [11]\nTrencher Express Team [5]\nTrencher Express Team [5]\nStorm Strider [18]\n","c1101b8Uh09Aak7jj6agaj9c9Kigigbz___-0n919b9b9c9cf6icakanaj9bae"
6001,3000,1,"Brisbane 1","Cygnar Army - 75 / 75 points\n[Theme] Heavy Metal\n\n(Brisbane 1) Major Markus ""Siege"" Brisbane [+28]\n - Charger [9]\n - Charger [9]\n - Firefly [8]\n - Firefly [8]\n - Hurricane [39]\n - Triumph [18]\n - Squire [0(5)]\nCaptain Arlan Strangewayes [0(4)]\nJourneyman Warcaster [0(4)]\n - Charger [9]\nField Mechaniks (min) [3]\n","c1101b8Uh09Aak7jj6agaj9c9Kigigbz___-0n919b9b9c9cf6icakanaj9bae"
6002,3001,14,"Heretic 1","Grymkin Army - 75 / 75 points\n[Theme] Dark Menagerie\n\n(Heretic 1) The Heretic [+28]\n - Cage Rager [14]\n - Cage Rager [14]\n - Crabbit [0(n/a)]\n - Crabbit [0(n/a)]\n - Frightmare [9]\n - Frightmare [9]\n - Gorehound [6]\n - Rattler [8]\n - Skin & Moans [15]\n - Skin & Moans [15]\nGremlin Swarm [0(3)]\nGremlin Swarm [0(3)]\nGremlin Swarm [0(3)]\nGremlin Swarm [0(3)]\nDeath Knell [13]\n","ce101b_-0rhuh2h2hyhyh5h5h6h7h3h3hmhmhmhmhr___-0rhsh2h2hyh4h6h3h3h3hmhmhmhmhnhr"
6003,3001,14,"Child 1","Grymkin Army - 74 / 75 points\n[Theme] Dark Menagerie\n\n(Child 1) The Child [+29]\n - Cage Rager [14]\n - Cage Rager [14]\n - Crabbit [0(n/a)]\n - Crabbits (2) [7]\n - Gorehound [6]\n - Skin & Moans [15]\n - Skin & Moans [15]\n - Skin & Moans [15]\nGremlin Swarm [0(3)]\nGremlin Swarm [0(3)]\nGremlin Swarm [0(3)]\nGremlin Swarm [0(3)]\nLady Karianna Rose [4]\nDeath Knell [13]\n","ce101b_-0rhuh2h2hyhyh5h5h6h7h3h3hmhmhmhmhr___-0rhsh2h2hyh4h6h3h3h3hmhmhmhmhnhr"
6006,3003,5,"Ossyan 1","Retribution Army - 75 / 75 points\n[Theme] Defenders of Ios\n\n(Ossyan 1) Lord Arcanist Ossyan [+28]\n - Hypnos [18]\n - Manticore [14]\nAelyth Vyr, Blade of Nyssor [0(5)]\nArcanist Mechanik [2]\nEiryss, Mage Hunter of Ios [0(7)]\nPriest of Nyssor [0(4)]\nCylena Raefyll & Nyss Hunters (max) [19]\nRyssovass Defenders (max) [16]\nArcantrik Force Generator [17]\nArcantrik Force Generator [17]\n","c5101b_-0z464l0vhJ3y3WhK75hOhThT___-0zgx0ujtjt3ydPdP35363u35363u35363uhT"
6007,3003,5,"Elara 2","Retribution Army - 75 / 75 points\n[Theme] Defenders of Ios\n\n!!! Your army contains pre-release entries.\n\n(Elara 2) Elara, Death's Shadow [+28]\n - Phoenix [18]\n - Siren [8]\n - Siren [8]\nArcanist Mechanik [2]\nHouseguard Thane [0(4)]\nHouseguard Thane [0(4)]\nHouseguard Halberdiers (max) [13]\n - Houseguard Halberdier Officer & Standard [0(4)]\n - Soulless Escort (1) [1]\nHouseguard Halberdiers (max) [13]\n - Houseguard Halberdier Officer & Standard [4]\n - Soulless Escort (1) [1]\nHouseguard Halberdiers (max) [13]\n - Houseguard Halberdier Officer & Standard [4]\n - Soulless Escort (1) [1]\nArcantrik Force Generator [17]\n","c5101b_-0z464l0vhJ3y3WhK75hOhThT___-0zgx0ujtjt3ydPdP35363u35363u35363uhT"
6008,3004,14,"Dreamer 1","Grymkin Army - 75 / 75 points\n[Theme] Dark Menagerie\n\n(Dreamer 1) The Dreamer [+28]\n - Cage Rager [14]\n - Cage Rager [14]\n - Crabbit [0(n/a)]\n - Crabbits (2) [7]\n - Gorehound [6]\n - Rattler [8]\n - Skin & Moans [15]\n - Skin & Moans [15]\nGremlin Swarm [0(3)]\nGremlin Swarm [0(3)]\nGremlin Swarm [0(3)]\nGremlin Swarm [0(3)]\nLady Karianna Rose [4]\nDread Rots (min) [7]\nDeath Knell [13]\n","ce101b_-0rhth2h2hyh4h6h7h3h3hmhmhmhmhnh8hr___-0rhuh2h2hyhyh4h5h7h7h3h3hmhmhmhmhr"
6009,3004,14,"Heretic 1","Grymkin Army - 75 / 75 points\n[Theme] Dark Menagerie\n\n(Heretic 1) The Heretic [+28]\n - Cage Rager [14]\n - Cage Rager [14]\n - Crabbit [0(n/a)]\n - Crabbit [0(n/a)]\n - Crabbits (2) [7]\n - Frightmare [9]\n - Rattler [8]\n - Rattler [8]\n - Skin & Moans [15]\n - Skin & Moans [15]\nGremlin Swarm [0(3)]\nGremlin Swarm [0(3)]\nGremlin Swarm [0(3)]\nGremlin Swarm [0(3)]\nDeath Knell [13]\n","ce101b_-0rhth2h2hyh4h6h7h3h3hmhmhmhmhnh8hr___-0rhuh2h2hyhyh4h5h7h7h3h3hmhmhmhmhr"
6010,3005,3,"Vladimir 1","Khador Army - 75 / 75 points\n[Theme] Winter Guard Kommand\n\n(Vladimir 1) Vladimir Tzepesci, The Dark Prince [+28]\n - Marauder [10]\n - Marauder [10]\n - Marauder [10]\nKovnik Jozef Grigorovich [4]\nLady Aiyana & Master Holt [8]\n - Koldun Kapitan Valachev [4]\nWinter Guard Field Gun Crew [0(4)]\nWinter Guard Mortar Crew [0(5)]\nWinter Guard Mortar Crew [0(5)]\nWinter Guard Rifle Corps (min) [8]\n - Winter Guard Rocketeer (3) [6]\nWinter Guard Rifle Corps (min) [8]\n - Winter Guard Rocketeer (3) [6]\nWinter Guard Rifle Corps (min) [8]\n - Winter Guard Rocketeer (2) [4]\nWinter Guard Gun Carriage [17]\n","c3101b_-0f767t7t7t8t8M8I7Z7-7-7X7W7X7W7X7Vi6___-0fdI7s7t7teQ8f8t8r7-7-7Y7Wi6"
6011,3005,3,"Butcher 3","Khador Army - 75 / 75 points\n[Theme] Winter Guard Kommand\n\n(Butcher 3) Kommander Zoktavir, The Butcher Unleashed [+22]\n - Kodiak [13]\n - Marauder [10]\n - Marauder [10]\n - Ruin [17]\n - War Dog [3]\nKovnik Jozef Grigorovich [4]\nWidowmaker Marksman [4]\nWinter Guard Mortar Crew [0(5)]\nWinter Guard Mortar Crew [0(5)]\nWinter Guard Rifle Corps (max) [13]\n - Winter Guard Rocketeer (3) [6]\nWinter Guard Gun Carriage [17]\n","c3101b_-0f767t7t7t8t8M8I7Z7-7-7X7W7X7W7X7Vi6___-0fdI7s7t7teQ8f8t8r7-7-7Y7Wi6"
6016,3008,5,"Issyria 1","Retribution Army - 75 / 75 points\n[Theme] Defenders of Ios\n\n(Issyria 1) Issyria, Sibyl of Dawn [+29]\n - Chimera [8]\n - Hyperion [36]\nArcanist Mechanik [2]\nArcanist Mechanik [2]\nGhost Sniper [3]\nHouseguard Thane [0(4)]\nHouseguard Thane [0(4)]\nLys Healer [3]\nHouseguard Halberdiers (max) [13]\n - Soulless Escort (1) [1]\nHouseguard Halberdiers (max) [13]\n - Houseguard Halberdier Officer & Standard [4]\n - Soulless Escort (1) [1]\nHouseguard Halberdiers (max) [13]\n - Houseguard Halberdier Officer & Standard [4]\n - Soulless Escort (1) [1]\n","c5101b_-0zdU1gc43y3y41dPdPfW353u35363u35363u___-0hb-2w2w2w2w2wgjd_9v3y3y3y4L4L"
6017,3008,5,"Vyros 2","Retribution Army - 75 / 75 points\n[Theme] Forges of War\n\n(Vyros 2) Vyros, Incissar of the Dawnguard [+27]\n - Griffon [8]\n - Griffon [8]\n - Griffon [8]\n - Griffon [8]\n - Griffon [8]\n - Helios [34]\n - Imperatus [22]\n - Sylys Wyshnalyrr, The Seeker [0(4)]\nArcanist Mechanik [2]\nArcanist Mechanik [2]\nArcanist Mechanik [2]\nHouse Shyeel Artificer [0(5)]\nHouse Shyeel Artificer [0(5)]\n","c5101b_-0zdU1gc43y3y41dPdPfW353u35363u35363u___-0hb-2w2w2w2w2wgjd_9v3y3y3y4L4L"
6014,3007,9,"Zaadesh 2","Skorne Army - 75 / 75 points\n[Theme] Imperial Warhost\n\n(Zaadesh 2) Lord Tyrant Zaadesh [+28]\n - Agonizer [0(6)]\n - Agonizer [0(6)]\n - Aradus Soldier [16]\n - Basilisk Krea [0(7)]\n - Bronzeback Titan [18]\n - Rhinodon [12]\n - Titan Gladiator [15]\n - Titan Sentry [15]\n - Titan Sentry [15]\nPaingiver Beast Handlers (min) [5]\nPaingiver Beast Handlers (min) [5]\nSwamp Gobbers Bellows Crew [2]\n","c9101b_-0LgO6r6reF4x4D5z5G6A6A5U5U2N__3Z6U4v4v6N6wfFbF5U5S5S6h6p6F"
6015,3007,9,"Morghoul 2","Skorne Army - 75 / 75 points\n\n(Morghoul 2) Lord Assassin Morghoul [+29]\n - Archidon [10]\n - Basilisk Drake [8]\n - Basilisk Drake [8]\n - Aptimus Marketh [5]\nPaingiver Bloodrunner Master Tormentor [4]\nSwamp Gobber Chef [1]\nWrong Eye [17]\nPaingiver Beast Handlers (min) [5]\nPaingiver Bloodrunners [9]\nPaingiver Bloodrunners [9]\nTyrant Commander & Standard Bearer [6]\nVenator Reivers (max) [15]\n - Venator Reiver Officer & Standard [4]\n","c9101b_-0LgO6r6reF4x4D5z5G6A6A5U5U2N__3Z6U4v4v6N6wfFbF5U5S5S6h6p6F"
6012,3006,10,"Absylonia 2","Legion Army - 75 / 75 points\n[Theme] Oracles of Annihilation\n\n(Absylonia 2) Absylonia, Daughter of Everblight [+28]\n - Carnivean [19]\n - Naga Nightlurker [8]\n - Neraph [12]\n - Neraph [12]\n - Proteus [19]\n - Scythean [18]\n - Seraph [14]\nBlighted Nyss Sorceress & Hellion [0(6)]\nSpell Martyr [1]\nThe Forsaken [0(4)]\nThe Forsaken [0(4)]\n","ca101b_-0tewaQbveJeJbwbgaObecob9b9___-0ug-g_bfeKbubqbbbbkaaYaYjx"
6013,3006,10,"Kallus 2","Legion Army - 75 / 75 points\n[Theme] Children of the Dragon\n\n!!! Your army contains a pre-release entry.\n\n(Kallus 2) Kallus, Devastation of Everblight [+28]\n - Azrael [21]\n - Nephilim Bolt Thrower [11]\n - Zuriel [18]\n - Succubus [0(4)]\nAnnyssa Ryvaal [8]\nBlighted Nyss Shepherd [1]\nBlighted Nyss Shepherd [1]\nCraelix, Fang of Everblight [0(6)]\nBlighted Nyss Raptors (max) [18]\nBlighted Nyss Raptors (max) [18]\nIce Witches [7]\n","ca101b_-0tewaQbveJeJbwbgaObecob9b9___-0ug-g_bfeKbubqbbbbkaaYaYjx"
6022,3011,3,"Vladimir 1","Khador Army - 75 / 75 points\n[Theme] Wolves of Winter\n\n(Vladimir 1) Vladimir Tzepesci, The Dark Prince [+28]\n - Drago [14]\n - Juggernaut [12]\n - Kodiak [13]\nFenris [9]\nKoldun Lord [0(4)]\nCylena Raefyll & Nyss Hunters (max) [19]\n - Koldun Kapitan Valachev [0(4)]\nDoom Reaver Swordsmen [13]\n - Greylord Escort [3]\nDoom Reaver Swordsmen [13]\nGreylord Ternion [7]\n","c3101b_-0K767x0d7s8s8h758I8889888a___-0x7a7w7q0d7s7s9lhF8n8n8r8y86ch8e"
6023,3011,3,"Karchev 1","Khador Army - 75 / 75 points\n[Theme] Jaws of the Wolf\n\n(Karchev 1) Karchev the Terrible [+30]\n - Behemoth [25]\n - Devastator [14]\n - Juggernaut [12]\n - Kodiak [13]\n - Kodiak [13]\n - Madelyn Corbeau, Ordic Courtesan [4]\nGreylord Forge Seer [0(4)]\nManhunter [0(4)]\nManhunter [4]\nWidowmaker Marksman [4]\nYuri the Axe [0(6)]\nBattle Mechaniks (min) [3]\nKayazy Eliminators [5]\nWidowmaker Scouts [8]\n","c3101b_-0K767x0d7s8s8h758I8889888a___-0x7a7w7q0d7s7s9lhF8n8n8r8y86ch8e"
6020,3010,5,"Kaelyssa 1","Retribution Army - 75 / 75 points\n[Theme] Legions of Dawn\n\n(Kaelyssa 1) Kaelyssa, the Night's Whisper [+29]\n - Hydra [15]\n - Hydra [15]\nArcanist Mechanik [2]\nArcanist Mechanik [2]\nDawnguard Sentinel Scyir [0(4)]\n - Griffon [8]\nEiryss, Angel of Retribution [0(6)]\nDawnguard Invictors (max) [16]\n - Dawnguard Invictor Officer & Standard [0(4)]\nDawnguard Sentinels (max) [18]\n - Dawnguard Sentinel Officer & Standard [4]\n - Soulless Escort (1) [1]\nDawnguard Sentinels (max) [18]\n - Dawnguard Sentinel Officer & Standard [4]\n - Soulless Escort (1) [1]\n","c5101b_-0X0G0w0w3y3y3J2w4V2G2H2V313u2V313u___-0hb-2w2w2w2w2wgjd_9v3y3y3y3W4L"
