"player","team","faction","is_theme","theme_name","leader","list"
"Christopher Swain","Australia Bin Chicken","Cryx","1"," Dark Host","Scaverous 1","Cryx Army - 75 / 75 points\n[Theme] Dark Host\n\n(Scaverous 1) Lord Exhumator Scaverous [+27]\n - Deathripper [6]\n - Deathripper [6]\n - Stalker [8]\n - Stalker [8]\n - Skarlock Thrall [0(4)]\nBane Lord Tartarus [0(6)]\nDarragh Wrathe [9]\nMachine Wraith [2]\nMachine Wraith [2]\nBane Knights (max) [15]\nBane Warriors (min) [10]\n - Bane Warrior Officer & Standard [0(5)]\nBane Warriors (max) [16]\n - Bane Warrior Officer & Standard [5]\nWraith Engine [15]\n"
"Jahn Barfoed","Australia Bin Chicken","Mercenaries","1"," Operating Theater","Thexus 1","Mercenary Army - 74 / 75 points\n[Theme] Operating Theater\n\n(Thexus 1) Exulon Thexus [+29]\n - Subduer [11]\n - Warden [10]\n - Warden [10]\nCephalyx Agitator [3]\nAlexia Ciannor & the Risen [10]\n - Cephalyx Dominator [1]\nCephalyx Mind Bender & Drudges (max) [11]\nCephalyx Mind Bender & Drudges (max) [11]\nCephalyx Mind Slaver & Drudges (max) [12]\nCephalyx Mind Slaver & Drudges (max) [12]\nCephalyx Mind Slaver & Drudges (max) [12]\nCephalyx Overlords [0(8)]\nCephalyx Overlords [0(8)]\n"
"Jahn Barfoed","Australia Bin Chicken","Mercenaries","0",,"Gorten 1","Mercenary Army - 75 / 75 points\n\n(Gorten 1) Gorten Grundback [+31]\n - Ghordson Earthbreaker [38]\nAnastasia di Bray [3]\nEiryss, Angel of Retribution [6]\nHarlan Versh, Illuminated One [4]\nRorsh [15]\nThor Steinhammer [4]\nKayazy Eliminators [5]\nKayazy Eliminators [5]\nLady Aiyana & Master Holt [8]\nHammerfall Siege Crawler [18]\n"
"Rob van der Wal","Australia Bin Chicken","Khador","1"," Jaws of the Wolf","Butcher 3","Khador Army - 75 / 75 points\n[Theme] Jaws of the Wolf\n\n(Butcher 3) Kommander Zoktavir, The Butcher Unleashed [+22]\n - Juggernaut [12]\n - Marauder [10]\n - Ruin [17]\n - War Dog [3]\nGreylord Forge Seer [0(4)]\n - Destroyer [14]\nGreylord Forge Seer [0(4)]\nWidowmaker Marksman [4]\nKayazy Assassins (max) [15]\n - Kayazy Assassin Underboss [4]\nKayazy Eliminators [5]\nKayazy Eliminators [5]\nWidowmaker Scouts [8]\n"
"Rob van der Wal","Australia Bin Chicken","Khador","0",,"Vladimir 3","Khador Army - 75 / 75 points\n\n(Vladimir 3) Vladimir Tzepesci, Great Prince of Umbrey [+27]\n - Behemoth [25]\n - Ruin [17]\n - War Dog [3]\nEiryss, Mage Hunter of Ios [7]\nGreylord Forge Seer [4]\nKovnik Andrei Malakov [4]\n - Juggernaut [12]\nGreylord Outriders (max) [20]\nKayazy Eliminators [5]\nKayazy Eliminators [5]\n"
"Brian Woods","Australia Bin Chicken","Grymkin","1"," Dark Menagerie","Dreamer 1","Grymkin Army - 75 / 75 points\n[Theme] Dark Menagerie\n\n(Dreamer 1) The Dreamer [+28]\n - Cage Rager [14]\n - Crabbit [0(n/a)]\n - Crabbits (2) [7]\n - Rattler [8]\n - Rattler [8]\n - Rattler [8]\n - Skin & Moans [15]\n - Skin & Moans [15]\nGlimmer Imp [4]\nGremlin Swarm [0(3)]\nGremlin Swarm [0(3)]\nGremlin Swarm [0(3)]\nGremlin Swarm [0(3)]\nLady Karianna Rose [4]\nDread Rots (min) [7]\nDeath Knell [13]\n"
"Brian Woods","Australia Bin Chicken","Grymkin","1"," Dark Menagerie","Child 1","Grymkin Army - 75 / 75 points\n[Theme] Dark Menagerie\n\n(Child 1) The Child [+29]\n - Cage Rager [14]\n - Crabbit [0(n/a)]\n - Crabbits (2) [7]\n - Gorehound [6]\n - Rattler [8]\n - Skin & Moans [15]\n - Skin & Moans [15]\n - Skin & Moans [15]\nGremlin Swarm [0(3)]\nGremlin Swarm [0(3)]\nGremlin Swarm [0(3)]\nGremlin Swarm [0(3)]\nLady Karianna Rose [4]\nDread Rots (min) [7]\nDeath Knell [13]\n"
"Bernhard Bornatowicz","Austria Schwarzenegger","Circle Orboros","1"," The Devourer's Host","Una 2","Circle Army - 75 / 75 points\n[Theme] The Devourer's Host\n\n(Una 2) Una the Skyhunter [+29]\n - Gorax Rager [7]\n - Scarsfell Griffon [8]\n - Scarsfell Griffon [8]\n - Scarsfell Griffon [8]\n - Scarsfell Griffon [8]\n - Scarsfell Griffon [8]\n - Scarsfell Griffon [8]\nBloodweaver Night Witch [0(4)]\nBloodweaver Night Witch [4]\nTharn Ravager Shaman [0(5)]\nDeath Wolves [9]\nTharn Bloodtrackers (max) [16]\n - Nuala the Huntress [4]\nTharn Bloodweavers [8]\nTharn Bloodweavers [8]\n"
"Bernhard Bornatowicz","Austria Schwarzenegger","Circle Orboros","0",,"Wurmwood 1","Circle Army - 75 / 75 points\n\n(Wurmwood 1) Wurmwood, Tree of Fate [+27]\n - Brennos the Elderhorn [17]\n - Gorax Rager [7]\n - Loki [19]\n - Megalith [20]\n - Warpwolf Stalker [19]\nLanyssa Ryssyl, Nyss Sorceress [4]\nSentry Stone & Mannikins [5]\nSentry Stone & Mannikins [5]\nShifting Stones [3]\nShifting Stones [3]\n"
"Daniel Maierl","Austria Schwarzenegger","Cygnar","0",,"Haley 3","Cygnar Army - 75 / 75 points\n\n(Haley 3) Major Prime Victoria Haley [+25]\n - Grenadier [9]\n - Grenadier [9]\n - Thorn [13]\nAnastasia di Bray [3]\nCaptain Arlan Strangewayes [4]\nJourneyman Warcaster [4]\n - Charger [9]\nRagman [4]\nRangers [9]\nStorm Lances (max) [20]\nTrencher Infantry (max) [16]\n"
"Daniel Maierl","Austria Schwarzenegger","Cygnar","1"," Heavy Metal","Stryker 1","Cygnar Army - 74 / 75 points\n[Theme] Heavy Metal\n\n(Stryker 1) Commander Coleman Stryker [+30]\n - Hurricane [39]\n - Stormwall [39]\n - Squire [0(5)]\nArchduke Alain Runewood, Lord of Fharin [0(4)]\nCaptain Arlan Strangewayes [0(4)]\nJourneyman Warcaster [0(4)]\n - Firefly [8]\nStorm Strider [18]\n"
"Wolfgang Weber","Austria Schwarzenegger","Cryx","1"," Dark Host","Asphyxious 2","Cryx Army - 75 / 75 points\n[Theme] Dark Host\n\n(Asphyxious 2) Lich Lord Asphyxious [+28]\n - Deathripper [6]\n - Stalker [8]\n - Stalker [8]\n - Stalker [8]\nBane Lord Tartarus [0(6)]\nMachine Wraith [2]\nBane Knights (max) [15]\nBane Knights (max) [15]\nBane Warriors (min) [10]\n - Bane Warrior Officer & Standard [0(5)]\nBane Warriors (max) [16]\n - Bane Warrior Officer & Standard [0(5)]\nWraith Engine [15]\n"
"Wolfgang Weber","Austria Schwarzenegger","Cryx","0",,"Coven 1","Cryx Army - 75 / 75 points\n\n(Coven 1) The Witch Coven of Garlghast [+26]\n - Deathripper [6]\n - Deathripper [6]\n - Stalker [8]\n - Stalker [8]\n - The Withershadow Combine [9]\nMachine Wraith [2]\nMachine Wraith [2]\nRagman [4]\nSatyxis Raiders (max) [16]\n - Satyxis Raider Sea Witch [3]\nSatyxis Raiders (max) [16]\n - Satyxis Raider Sea Witch [3]\nSoulhunters (max) [18]\n"
"Lukas Neuhauser","Austria Schwarzenegger","Skorne","1"," Imperial Warhost","Xerxis 2","Skorne Army - 74 / 75 points\n[Theme] Imperial Warhost\n\n(Xerxis 2) Xerxis, Fury of Halaak [+28]\n - Agonizer [0(6)]\n - Archidon [10]\n - Archidon [10]\n - Archidon [10]\n - Archidon [10]\n - Archidon [10]\n - Archidon [10]\n - Archidon [10]\n - Basilisk Krea [0(7)]\n - Basilisk Krea [0(7)]\n - Tiberion [22]\nPaingiver Beast Handlers (min) [5]\nPaingiver Beast Handlers (min) [5]\n"
"Lukas Neuhauser","Austria Schwarzenegger","Skorne","1"," Winds of Death","Rasheth 1","Skorne Army - 75 / 75 points\n[Theme] Winds of Death\n\n(Rasheth 1) Dominar Rasheth [+28]\n - Basilisk Krea [7]\n - Cyclops Raider [9]\n - Cyclops Shaman [8]\n - Cyclops Shaman [8]\nExtoller Soulward [0(3)]\nExtoller Soulward [3]\nMortitheurge Willbreaker [0(4)]\nVenator Dakar [0(4)]\nPaingiver Beast Handlers (max) [7]\nVenator Reivers (max) [15]\n - Venator Reiver Officer & Standard [4]\nVenator Slingers (min) [8]\nSiege Animantarax [17]\nSiege Animantarax [17]\n"
"Martin Hornacek","Austria Schwarzenegger","Skorne","0",,"Makeda 2","Skorne Army - 75 / 75 points\n\n(Makeda 2) Supreme Archdomina Makeda [+27]\n - Basilisk Krea [7]\n - Despoiler [19]\nMortitheurge Willbreaker [4]\nMortitheurge Willbreaker [4]\nOrin Midwinter, Rogue Inquisitor [5]\nTyrant Rhadeim [9]\nLegends of Halaak [8]\nPaingiver Beast Handlers (min) [5]\nPraetorian Ferox (max) [20]\nPraetorian Ferox (max) [20]\n"
"Martin Hornacek","Austria Schwarzenegger","Skorne","1"," Winds of Death","Hexeris 2","Skorne Army - 75 / 75 points\n[Theme] Winds of Death\n\n(Hexeris 2) Lord Arbiter Hexeris [+27]\n - Basilisk Krea [7]\n - Cyclops Raider [9]\n - Cyclops Raider [9]\n - Cyclops Shaman [8]\n - Aptimus Marketh [0(5)]\nExtoller Soulward [3]\nMortitheurge Willbreaker [0(4)]\nVenator Dakar [4]\nPaingiver Beast Handlers (min) [5]\nVenator Flayer Cannon Crew [0(5)]\nVenator Reivers (min) [9]\n - Venator Reiver Officer & Standard [4]\nVenator Reivers (max) [15]\n - Venator Reiver Officer & Standard [4]\nVenator Slingers (min) [8]\nSiege Animantarax [17]\n"
"Martin ""Raghnath"" Florian","Austria Mozart","Khador","1"," Jaws of the Wolf","Irusk 2","Khador Army - 75 / 75 points\n[Theme] Jaws of the Wolf\n\n(Irusk 2) Supreme Kommandant Irusk [+27]\n - Behemoth [25]\n - Juggernaut [12]\nGreylord Forge Seer [0(4)]\n - Destroyer [14]\nWidowmaker Marksman [0(4)]\nKayazy Assassins (max) [15]\n - Kayazy Assassin Underboss [4]\nKayazy Assassins (max) [15]\n - Kayazy Assassin Underboss [4]\nKayazy Eliminators [5]\nWidowmaker Scouts [8]\n"
"Martin ""Raghnath"" Florian","Austria Mozart","Khador","1"," Winter Guard Kommand","Vladimir 1","Khador Army - 75 / 75 points\n[Theme] Winter Guard Kommand\n\n(Vladimir 1) Vladimir Tzepesci, The Dark Prince [+28]\n - Juggernaut [12]\n - Marauder [10]\n - Marauder [10]\n - Marauder [10]\nKovnik Jozef Grigorovich [4]\nWinter Guard Artillery Kapitan [0(3)]\nWinter Guard Field Gun Crew [0(4)]\nWinter Guard Mortar Crew [0(5)]\nWinter Guard Rifle Corps (min) [8]\n - Winter Guard Rocketeer (3) [6]\nWinter Guard Rifle Corps (min) [8]\n - Winter Guard Rocketeer (3) [6]\nWinter Guard Rifle Corps (min) [8]\n - Winter Guard Rocketeer (2) [4]\nWinter Guard Gun Carriage [17]\n"
"Mischa ""Mischachen"" Mendlik","Austria Mozart","Cygnar","1"," Heavy Metal","Haley 2","Cygnar Army - 75 / 75 points\n[Theme] Heavy Metal\n\n(Haley 2) Major Victoria Haley [+25]\n - Charger [9]\n - Stormwall [39]\n - Thorn [13]\n - Squire [0(5)]\nCaptain Arlan Strangewayes [0(4)]\nJourneyman Warcaster [0(4)]\n - Charger [9]\nLieutenant Allison Jakes [0(4)]\n - Ironclad [12]\nStorm Strider [18]\n"
"Mischa ""Mischachen"" Mendlik","Austria Mozart","Cygnar","0",,"Stryker 2","Cygnar Army - 75 / 75 points\n\n(Stryker 2) Lord Commander Stryker [+28]\n - Lancer [10]\n - Ol' Rowdy [18]\n - Squire [5]\nJourneyman Warcaster [4]\n - Firefly [8]\nMajor Harrison Gibbs [4]\nMajor Katherine Laddermore [8]\nRagman [4]\nRhupert Carvolo, Piper of Ord [4]\nStorm Lances (max) [20]\nStorm Strider [18]\n"
"Daniel ""Luzifer"" Neubauer","Austria Mozart","Circle Orboros","0",,"Krueger 2","Circle Army - 75 / 75 points\n\n(Krueger 2) Krueger the Stormlord [+27]\n - Feral Warpwolf [18]\n - Loki [19]\n - Pureblood Warpwolf [17]\n - Woldwyrd [9]\n - Woldwyrd [9]\nWrong Eye [17]\nSentry Stone & Mannikins [5]\nSentry Stone & Mannikins [5]\nShifting Stones [3]\n"
"Daniel ""Luzifer"" Neubauer","Austria Mozart","Circle Orboros","1"," The Devourer's Host","Baldur 1","Circle Army - 75 / 75 points\n[Theme] The Devourer's Host\n\n(Baldur 1) Baldur the Stonecleaver [+31]\n - Feral Warpwolf [18]\n - Ghetorix [21]\n - Shadowhorn Satyr [12]\nBloodweaver Night Witch [4]\nTharn Ravager Shaman [0(5)]\nDeath Wolves [9]\nShifting Stones [3]\nShifting Stones [3]\nTharn Bloodtrackers (max) [16]\n - Nuala the Huntress [4]\nTharn Ravagers (max) [16]\n - Tharn Ravager Chieftain [0(5)]\n"
"Andreas Höng","Austria Mozart","Convergence of Cyriss","1","Destruction Initiative","Directrix 1","Theme: Destruction Initiative
4 / 4 Free Cards    75 / 75 Army


Iron Mother Directrix & Exponent Servitors - WJ: +27
-    Iron Mother Directrix & Exponent Servitors Cont.
-    Diffuser - PC: 6
-    Prime Axiom - PC: 38 (Battlegroup Points Used: 27)
-    Corollary - PC: 6
-    Assimilator - PC: 16
-    Diffuser - PC: 6
-    Mitigator - PC: 7

Transfinite Emergence Projector - PC: 19
-    Permutation Servitors

Reflex Servitors - 3 Reflex Servitors: 0
Reflex Servitors - 3 Reflex Servitors: 0
Attunement Servitors - 3 Attunement Servitors: 0
Reflex Servitors - 3 Reflex Servitors: 0

Optifex Directive - Leader & 2 Grunts: 4"
"Andreas Höng","Austria Mozart","Convergence of Cyriss","1","Destruction Initiative","Axis 1","Theme: Destruction Initiative
5 / 5 Free Cards    75 / 75 Army


Axis, The Harmonic Enforcer - WJ: +30
-    Diffuser - PC: 6 (Battlegroup Points Used: 6)
-    Inverter - PC: 15 (Battlegroup Points Used: 15)
-    Galvanizer - PC: 5 (Battlegroup Points Used: 5)
-    Galvanizer - PC: 5 (Battlegroup Points Used: 4)
-    Galvanizer - PC: 5
-    Corollary - PC: 6
-    Galvanizer - PC: 5
-    Cipher - PC: 16

Transfinite Emergence Projector - PC: 19
-    Permutation Servitors
Transfinite Emergence Projector - PC: 19
-    Permutation Servitors

Attunement Servitors - 3 Attunement Servitors: 0
Attunement Servitors - 3 Attunement Servitors: 0
Reflex Servitors - 3 Reflex Servitors: 0
Reflex Servitors - 3 Reflex Servitors: 0
Reflex Servitors - 3 Reflex Servitors: 0

Optifex Directive - Leader & 2 Grunts: 4
"
"Daniel ""Snot"" Pawelka","Austria Mozart","Trollbloods","1"," The Power of Dhunia","Borka 2","Trollbloods Army - 75 / 75 points\n[Theme] The Power of Dhunia\n\n(Borka 2) Borka, Vengeance of the Rimeshaws [+29]\n - Dire Troll Bomber [19]\n - Dire Troll Mauler [15]\n - Earthborn Dire Troll [15]\n - Rok [21]\n - Troll Axer [10]\n - Troll Bouncer [9]\n - Trollkin Runebearer [0(4)]\nJanissa Stonetide [0(4)]\nTroll Whelps [0(4)]\nDhunian Knot [6]\nKrielstone Bearer & Stone Scribes (min) [6]\n - Stone Scribe Elder [3]\n"
"Daniel ""Snot"" Pawelka","Austria Mozart","Trollbloods","1"," The Power of Dhunia","Skuld 1","Trollbloods Army - 75 / 75 points\n[Theme] The Power of Dhunia\n\n(Skuld 1) Jarl Skuld, Devil of the Thornwood [+30]\n - Dire Troll Bomber [19]\n - Dire Troll Bomber [19]\n - Mountain King [36]\n - Troll Axer [10]\n - Trollkin Runebearer [0(4)]\nJanissa Stonetide [0(4)]\nTroll Whelps [0(4)]\nDhunian Knot [6]\nKrielstone Bearer & Stone Scribes (min) [6]\nTrollkin Runeshapers [9]\n"
"Alexander Loginov","Belarus R","Cygnar","1"," Heavy Metal","Nemo 1","Cygnar Army - 75 / 75 points\n[Theme] Heavy Metal\n\n(Nemo 1) Commander Adept Nemo [+30]\n - Defender [16]\n - Dynamo [18]\n - Lancer [10]\n - Stormclad [18]\n - Thunderhead [20]\n - Squire [0(5)]\nJourneyman Warcaster [0(4)]\n - Firefly [8]\nLieutenant Allison Jakes [0(4)]\n - Ironclad [12]\nField Mechaniks (min) [3]\n"
"Alexander Loginov","Belarus R","Cygnar","0",,"Caine 3","Cygnar Army - 74 / 75 points\n\n(Caine 3) Caine's Hellslingers [+20]\n - Ace [12]\n - Charger [9]\n - Cyclone [13]\n - Grenadier [9]\n - Squire [5]\nCaptain Arlan Strangewayes [4]\nGorman di Wulfe, Rogue Alchemist [4]\nGun Mage Captain Adept [5]\nLady Aiyana & Master Holt [8]\n - Captain Jonas Murdoch [4]\nTrencher Infantry (max) [16]\n - Trencher Infantry Officer & Sniper [5]\n"
"Evgenii Mikhailovskii","Belarus R","Circle Orboros","0",,"Baldur 1","Circle Army - 75 / 75 points\n\n(Baldur 1) Baldur the Stonecleaver [+31]\n - Pureblood Warpwolf [17]\n - Woldwrath [37]\nAlten Ashley [6]\nWar Wolf [2]\nWar Wolf [2]\nWar Wolf [2]\nReeves of Orboros (max) [16]\n - Reeve of Orboros Chieftain & Standard [4]\nTharn Bloodtrackers (max) [16]\n - Nuala the Huntress [4]\n"
"Evgenii Mikhailovskii","Belarus R","Circle Orboros","1"," The Wild Hunt","Grayle 1","Circle Army - 74 / 75 points\n[Theme] The Wild Hunt\n\n(Grayle 1) Grayle the Farstrider [+29]\n - Pureblood Warpwolf [17]\n - Warpwolf Stalker [19]\nGallows Grove [2]\nReeve Hunter [0(4)]\nWar Wolf [2]\nWar Wolf [2]\nWar Wolf [2]\nWolf Lord Morraig [8]\nReeves of Orboros (max) [16]\n - Reeve of Orboros Chieftain & Standard [0(4)]\nShifting Stones [3]\n - Stone Keeper [2]\nWarpborn Skinwalkers (max) [15]\n - Warpborn Skinwalker Alpha [4]\nWolves of Orboros (max) [11]\n"
"Dmitry Konstantinov","Belarus R","Khador","1"," Winter Guard Kommand","Vladimir 1","Khador Army - 75 / 75 points\n[Theme] Winter Guard Kommand\n\n(Vladimir 1) Vladimir Tzepesci, The Dark Prince [+28]\n - Destroyer [14]\n - Juggernaut [12]\n - Marauder [10]\n - Marauder [10]\n - Marauder [10]\nKovnik Jozef Grigorovich [4]\nBattle Mechaniks (min) [3]\nWinter Guard Field Gun Crew [0(4)]\nWinter Guard Mortar Crew [0(5)]\nWinter Guard Rifle Corps (min) [8]\n - Winter Guard Rocketeer (3) [6]\nWinter Guard Rifle Corps (min) [8]\n - Winter Guard Rocketeer (3) [6]\nWinter Guard Rifle Corps (min) [8]\n - Winter Guard Rocketeer (2) [4]\n"
"Dmitry Konstantinov","Belarus R","Khador","1"," Winter Guard Kommand","Harkevich 1","Khador Army - 75 / 75 points\n[Theme] Winter Guard Kommand\n\n(Harkevich 1) Kommander Harkevich, The Iron Wolf [+28]\n - Juggernaut [12]\n - Juggernaut [12]\n - Kodiak [13]\n - Kodiak [13]\n - Kodiak [13]\n - Marauder [10]\n - Marauder [10]\nKovnik Jozef Grigorovich [4]\nWinter Guard Infantry (max) [10]\n - Winter Guard Rocketeer (3) [6]\nWinter Guard Mortar Crew [0(5)]\n"
"Kanstantsin Rusinau","Belarus R","Trollbloods","1"," The Power of Dhunia","Doomshaper 3","Trollbloods Army - 75 / 75 points\n[Theme] The Power of Dhunia\n\n(Doomshaper 3) Hoarluk Doomshaper, Dire Prophet [+26]\n - Dire Troll Mauler [15]\n - Mulg the Ancient [19]\n - Sea King [42]\n - Troll Axer [10]\n - Trollkin Runebearer [0(4)]\nTroll Whelps [0(4)]\nTroll Whelps [0(4)]\nDhunian Knot [6]\nKrielstone Bearer & Stone Scribes (min) [6]\n - Stone Scribe Elder [3]\n"
"Kanstantsin Rusinau","Belarus R","Trollbloods","1"," The Power of Dhunia","Doomshaper 2","Trollbloods Army - 75 / 75 points\n[Theme] The Power of Dhunia\n\n(Doomshaper 2) Hoarluk Doomshaper, Rage of Dhunia [+27]\n - Dire Troll Mauler [15]\n - Mulg the Ancient [19]\n - Night Troll [7]\n - Sea King [42]\n - Troll Axer [10]\n - Trollkin Runebearer [0(4)]\nTroll Whelps [0(4)]\nTroll Whelps [0(4)]\nKrielstone Bearer & Stone Scribes (min) [6]\n - Stone Scribe Elder [3]\n"
